Player Name,Link,Analysis,Strengths,Weaknesses,College,Pick,Position,Team,Year
Javorius Allen,https://www.nfl.com/prospects/javorius-allen/3200414c-4c46-9092-5c78-2e9c81c3e122,"Workhorse back able to make plays late in the game and work out of the backfield to keep defenses honest. His relative elusiveness in space and ability to cut on a dime give him the ability to create yards where there are none, but his average vision and inability to finish off runs will keep him from getting some of the yards teams might expect. He's well-rounded enough to be a very good backup with middle-
of-the-road starting potential.","Loose hips for tight turns and razor-sharp cuts. Has quick-stop, jump-cut ability to make defenders miss in the backfield. Can slalom back and forth, navigating around traffic through the line of scrimmage and into the second level. Able to shake linebackers and downhill safeties in space. Short-area acceleration to give leg-tacklers a vanishing target. Has lateral quickness to bounce runs outside and create something out of nothing. Factors into passing game, averaging 11.3 yards per catch over last two seasons. Plays with adequate burst through the crease. Able to handle a heavy workload if asked.","Running style doesn't match his size. Upright runner. Plays with high pad level and doesn't finish runs with attitude and urgency. Slows feet into contact and rarely explodes through initial tackler with force. Lacks instincts and feel for developing running lanes. Chooses the trafficked path more than expected. At times, will show some indecisiveness and hesitation into the fray. Will break prematurely from path the play should follow rather than allowing it to develop. Focus drops plagued him out of backfield in 2014.",USC,122,RB,Baltimore Ravens,2015
David Johnson,https://www.nfl.com/prospects/david-johnson/32004a4f-4817-4477-4e5f-db6fb5a95abe,"Johnson lacks the short-area quickness to be a consistently effective every-down running back, but he has good size, speed and hands so he can't just be dismissed. He doesn't run routes well enough and isn't sudden enough to be a wide receiver, so he might have to be a third-down back with kick-return potential.",Looks good on the hoof. Possesses a big body and falls forward for additional yards. Smooth pass-catcher out of the backfield and is a mismatch for linebackers. Has been a consistent weapon out of the backfield while in college. Uses an effective jump cut on inside runs to change direction and can string a couple of them together on the same run. Has good long speed when he gets into space.,Long-strider. Doesn't always look like he has the foot quickness to burst through the hole consistently. Allows defenders to get a hand on him through the replace and isn't a classic finisher. Tends to hit the brakes too hard in order to make his cuts. Questionable vision. Looks to make cuts instead of keeping the run play-side. Scouts want to see more fire in his play demeanor. Play strength and blocking are problems. Goes down too easily.,NORTHERN IOWA,86,RB,Arizona Cardinals,2015
Matt Jones,https://www.nfl.com/prospects/matt-jones/32004a4f-4e60-3219-485e-36655170f13d,"Has very good athleticism for a big running back and is a physical pile-mover who is difficult to stop for negative yardage. Unfortunately, Jones lacks the instincts and vision to fully maximize his physical tools. Jones could become the physical member of a running-back-by-committee approach, with upside as a third-down option.","Imposing size with muscular frame. Above-average swivel in hips and perimeter quickness for runner his size. Pistons for feet, chomping and churning through contact to extend run. Has slippery lower body with angle-tackle attempts sliding off. Keeps shoulders square to line for maximum power. Plays with forward lean and is difficult to stop for a loss. Used sparingly as a pass-catcher, but flashes capable hands if asked to do so in the pros. Aggressive in protection, squaring up and striking a blow against free-running blitzer.","More grinder than every-down running back. Will hit it downhill, but has very little feel for maximizing run creases. Blind to open running lanes. Drops head and burrows into blockers and defenders rather than seeing open space. Must improve patience in setting up blocks. Can juke and shift when headed to line of scrimmage, but doesn't show much creativity and shiftiness once he's on second level. Needs to keep ball tucked and secured to avoid fumbling issues.",FLORIDA,95,RB,Washington Commanders,2015
Jeremy Langford,https://www.nfl.com/prospects/jeremy-langford/32004c41-4e55-0009-7df2-5868ebab3d73,"Langford showed improvement from 2013 to 2014, but he doesn't accelerate through contact and will usually get what is blocked. Without an ability to maximize his yards with each carry, teams could peg him as a ""committee back"" with an ability to play on third downs.","Running back who has played wide receiver and cornerback at Michigan State. Improved a great deal since 2013 season. Has feet to avoid the trash and bounce it outside. Has burst around the corner and can separate from linebackers in pursuit. Finished his 2014 campaign with 22 carries of 15-plus yards, placing him fifth in running-back heavy Big Ten. Effective with chip blocks and will square up blitzers and take them on in pass protection. Has blocking and pass-catching talent to play on third downs. Good spin move and plus lateral foot quickness. Maintains balance through contact. Showed special-teams potential as a sophomore.","Not a physical runner. Broke very few tackles this year and churned out pedestrian yards after contact. Gains extra yards by sliding laterally out of tackles rather than leg churn. Lacks commitment between the tackles. Seems content to absorb hits rather than dish them out. Scouts believe he will be a ""bouncer"" in pros, looking to take runs outside prematurely. Has burst, but not as much wiggle as anticipated.",MICHIGAN STATE,103,RB,Chicago Bears,2015
Marcus Murphy,https://www.nfl.com/prospects/marcus-murphy/32004d55-5251-7528-c408-6a8d935ecd3b,"All-purpose running back with a lean frame and a big heart. Showed consistency of effort and production during his time at Missouri. His value as a runner is limited due to his size, but he has the potential to become a legitimate target out of the backfield and might warrant some reps in camp as a slot receiver. Murphy can step in and immediately challenge for the top spot as a kickoff and/or punt returner.","Has the foot quickness and acceleration to make something out of nothing when called upon as a runner. Needs to play in space, but has quality traits for a runner, despite size. Has enough speed to turn the corner and hit a big run down the sideline. In passing game, mismatches inside 'backers with razor-sharp cuts to the sideline, creating easy throws for the quarterback. Looks to adjust his routes over the top of coverage if quarterback scrambles. Has excellent hands and concentration to finish a catch despite impending contact. Celebrated kick- and punt-return specialist with seven career return touchdowns at Missouri.","Needs to improve his reads and feel on stretch plays flowing outside. Small running back with limited amount of carries he can offer in a given game. Tends to float in space as a receiver rather than working back to the ball. Doesn't make the sharp, downhill cuts expected from him as a running back. Missed 2011 with a shoulder injury. He tries to get in the way as a pass blocker, but lacks bulk and strength to be trusted with blitz pickup on next level.",MISSOURI,205,RB,New Orleans Saints,2015
Karlos Williams,https://www.nfl.com/prospects/karlos-williams/32005749-4c39-8250-3203-7c4584bc633d,"Williams is a big, talented athlete who is still finding his way as a running back. He seemed almost content to lose his job in 2014 and teams will be turning over every rock looking for information on his character. As a one-cut runner with exceptional burst and rare physical traits, Williams could become a very good starter in a zone-based scheme, but his floor is very low based on character and scheme fit.","Former safety with aggressive, physical temperament. Taller and longer than most running backs, but has exceptional burst to trim the corner and go. Angular running style. Makes subtle changes of direction without gearing down. One-cut daddy on outside zone plays. Has good top-end speed. Can be a factor on swing passes and will body up in pass protection. Lowers pads and delivers a blow on the move. Falls forward and is a pile mover when pad level is right. Natural footwork for an inexperienced back. Slams it between tackles when asked and doesn't look to bounce outside. Shows patience and uses head fakes to freeze defenders in space. Hard to tackle and keeps feet churning at impact.","Upright runner. Has issues playing with leverage when challenged suddenly in the hole. Needs to see contact coming to get pads low enough. Has just two years of running back experience. Instincts and feel are very hit and miss. Runs himself into trouble and might not fit all running schemes. Doesn't make many defenders miss on second level. ""Explosive Rushes"" (15-plus yards) fell off substantially in 2014. Gained additional weight preseason, which appears to have slowed him. Lost starting job to freshman. Was investigated by Tallahassee police in domestic battery case, but no charges were filed. Character will be combed over carefully.",FLORIDA STATE,147,RB,Buffalo Bills,2015
Josh Robinson,https://www.nfl.com/prospects/josh-robinson/3200524f-4259-0769-ff79-05ec4b6720ae,Compact running back with squatty lower body and a short-striding style that allows him to get to his top speed quickly in the open field. Robinson appears to be lacking an NFL burst and the shiftiness needed to create more yardage for himself on the second level. He has good short-area footwork and is effective as a pass-catcher but is lacking a differentiating talent from the rest of the backs in this draft.,"Built low to the ground with power trunk and thick bubble. Coils into a ball at contact, making him immune to shoulder and/or forearm blows to tackle. Patient runner. Runs with consistent balance and can maintain it through contact. Flashes lateral agility to escape from the side door and bounce a run wide. Steady threat out of the backfield as pass-catcher. Soft hands to secure the throw and is ready to run after catch. Can chop pass rusher down with his cut blocks.","Vision is average to below average, and will leave some yards on the field. Gets what is blocked and relies on his short-area footwork to make tacklers miss rather than true elusiveness in open area. One-note runner with tightly bundled hips and marginal athleticism. Nothing special with burst through hole, as defenders frequently get their hands on him to slow his progress. Benefited from zone-read system with dual-threat quarterback creating consistent running lanes over tackle. Feet barely leave ground, opening Robinson up to ankle tackles.",MISSISSIPPI STATE,189,RB,Indianapolis Colts,2015
Kenny Hilliard,https://www.nfl.com/prospects/kenny-hilliard/32004849-4c71-9831-c364-d5ae91d8774f,Lacks elusiveness and doesn't carry enough power behind his pads to create any intrigue. Couldn't even get to 100 carries in a single season while in college and unlikely to be able to break into rotation in the pros.,Decent top-end speed and can catch the ball well out of the backfield. Finds open spaces in passing game and sets up blocks after the catch. Doesn't dance to the line and finishes off runs falling forward. Play speed is adequate but could improve if carrying less weight.,Doesn't show feel to create if initial running lane is restricted. Burst is absent out of breaks or cuts. Can't shake defender on second level or in open space. Isn't very difficult to bring down for a back his size. Effort to fool defense on play fakes is substandard. Poor technique in pass protection -- lunger with ducked head.,LSU,210,RB,Houston Texans,2015
Joey Iosefa,https://www.nfl.com/prospects/joey-iosefa/3200494f-5317-7981-243b-b3fe47c0d5d1,"One-speed running back with some weight behind his pads, but not enough explosive power to offset his lack of burst and overall athleticism. Could struggle to find a home as an NFL running back and might need to take a look at playing fullback.","No-nonsense runner who prefers to rush between the tackles. Will coil his hips and deliver a blow into second-level linebackers attempting to tackle him and pass rushers in pass protection. Often leans shoulder into contact, absorbing blow while resetting feet to continue his run. Functional ability to cut and take it downhill. Can catch the ball out of the backfield and is adequate in pass protection.","Bulky, but unathletic build. Shows below-average foot quickness, which limits ability to run to perimeter and to make defenders miss in space. Has marginal burst through line of scrimmage, forcing him to deal with consistent traffic around him. Doesn't possess ground-floor acceleration or wiggle to make consistent yardage in screen game.",HAWAII,206,RB,Tampa Bay Buccaneers,2015
Ezekiel Elliott,https://www.nfl.com/prospects/ezekiel-elliott/3200454c-4c28-9284-cdcc-74694c8d1749,"Elite, three­-down running back who has the ability to excel in every facet of the game. Elliott has rare combination of size, athleticism, pass-catching and blocking skills and his competitive nature is always bubbling on the surface. While he's had to handle a heavy workload over the last two seasons, Elliot should still come out of the gates as one of the most productive young running backs in the league.","Elite combination of vision and decisiveness. Instinctive, short strider with instant reaction time. Has a bona fide jump-­cut to elude penetration in the backfield and enough burst to elude chasers when he bounces runs to the outside. Able to change directions with no hesitation or wasted motion and is always headed forward. Has innate feel for developing blocks in space and is excellent at setting his blocks up and accelerating from behind them when the linebacker is trapped. When it's gridlocked inside, finds yards on his own. Rocked up physique but still maintains loose hips for agility. Exceptional balance through contact and takes tacklers for a ride. Has a ""come at me, bro!"" mentality as a runner. Loves to end runs on his physical terms. Uses lead shoulder as a weapon, but plays with outstanding ball security. Looks to absolutely bludgeon defenders as a lead blocker and is often successful. Able pass catcher who adjusts to throws and can do something with it after the catch.","Strapped it up with a heavy workload over last two seasons including over 600 touches. Defenders land big shots on him. Appears to be too willing to put himself through the meat grinder rather than avoiding certain collisions. Understanding when to attack and when to elude may take time for him. Can sharpen his pass routes a bit and has room for improvement as a pass blocker. On second level, gets on top of defenders before he has a chance to gather himself into a position to evade a tackle. Questions arose about his maturity after complaining about lack of carries in Michigan State game.",OHIO STATE,4,RB,Dallas Cowboys,2016
Derrick Henry,https://www.nfl.com/prospects/derrick-henry/32004845-4e60-2843-9b64-3cd8fac319c3,"Bell-cow running back with an ability to strap on feedbag and eat for four quarters. Henry's long legs and angular running style is a much better fit for downhill running teams who value lead backs and physicality. Henry needs early running room as he's not a creator in the backfield, but once he gets up a full head of steam, he is a nightmare with his ability to punish on the second and third level or take it to the house. Henry should come in and provide immediate production as a starter.","One of the biggest running backs you will ever see. Can be a violent runner without even trying. Pummels tacklers with forward lean and dynamite behind his pads. Gives run-­support cornerbacks bad dreams. Rare top­-end speed for a runner his size. Long strides from second to third level cut into reaction time for safeties and often leave them a step short and grasping for air. Effective in zone, gap and power schemes. Rarely fatigues and wears down defenses as game goes on. Had 29.6 percent of his explosive carries come in the fourth quarter. Makes consistent, initial reads as a zone runner. Against 
Mississippi State, took outside zone run and cut it all the way back across formation out­racing defense for 65-yard touchdown. Led nation in missed tackles forced with 60. Uses subtle change of direction on the second level  while keeping runs north/south. Used as a possession bully in short yardage spots and when Alabama wanted to impose their will.","With almost 400 touches this year, scouts are concerned about his workload. Averaged almost 32 carries against SEC competition including 90 carries over his final two regular season games. Tall, long-strider who takes time to build up his speed. Average foot quickness can lead to tackles for losses if he gets too cute in the backfield. Needs to improve his second read as a zone runner. Ineffective in passing game with below average hands. Narrow based running style allows defenders to trip him up. More run­-finisher 
than tackle breaker with just seven broken tackles to Leonard Fournette's 22. Sluggish cut­back ability once he's outside the tackle box.",ALABAMA,46,RB,Tennessee Titans,2016
Jordan Howard,https://www.nfl.com/prospects/jordan-howard/3200484f-5723-9418-9826-088b7176f34d,"Howard has the optimal size and talent needed to strap the pads on and become a productive workhorse for a team looking for one, true lead back. Howard's vision, power and subtle shiftiness allow him to create and break tackles along the way. Staying healthy in the NFL is a legitimate concern for Howard considering his relentless running style. If he can stay healthy, Howard has the ability to become an instant factor as an NFL starter.","Showed ability to step his game up against top competition at both UAB and Indiana. Rushed for at least 145 yards in every full game he played. Natural runner who combines tempo with a special feel for spacial relationships. Pro­-ready vision gives him outstanding feel for run lane developments at the line of scrimmage and onto the second level. Consistently chooses best angles and creases for optimal yardage. For a big back, can make himself skinny through tight quarters. Decisive and punishing. Drops pads and accelerates into contact to batter would-­be tacklers on the second and third levels. Drives legs through arm tackles and goes about his work. Hard-­charging when it’s third- or fourth-and-short. Showed potential in screen game as receiver.",Doesn't have sudden one-­cut ability and has to tap brakes to hit it downhill on outside zone runs. One-speed runner. Can be chased down by backside sprinters before getting to the second level. Takes big hits due to bruising running style. Scouts concerned about ability to stay healthy. Missed four games and parts of three others with knee and ankle injuries. Upright pads and narrow base leads to slips and balance issues when trying to make sharp cuts. Rarely factored into passing game at UAB or Indiana.,INDIANA,139,RB,Chicago Bears,2016
Devontae Booker,https://www.nfl.com/prospects/devontae-booker/3200424f-4f01-9902-c146-57fda0468e8d,"Rhythm runner who has experience in a pro­-style running game and who gets better with the more carries he has. Booker is a three-down running back who has the toughness and determination to grind out short yardage while possessing the vision and footwork to create for himself when near the line of scrimmage or the second level. Booker isn’t fast, but he plays at a consistent speed and should have enough quickness to be consistently productive as an NFL starting running back.","Patient runner but decisive when he sees the crease. Hits it through the crease with determination. Flashes above-average feel for the way running lanes shift and change, and he flows with it making the smart choices to avoid tacklers and extend runs. Features excellent vision. Doesn’t get caught dancing very often and usually ends the run on his terms with low pads and forward lean. Can maintain play speed when changing direction and cutting. Has crisp footwork approaching the line of scrimmage and can dodge and dart around penetration to create yardage opportunities. Elusive second-level runner able to string together a slew of moves in succession. Effective pass catcher with soft hands. Rarely leaves the field. Dependable short yardage back in college. Willing to step up and do his part in pass protection.","Doesn’t have the top­-end speed to be a “chunk play” runner. Full­-time running back, but on the borderline of size NFL teams look for from a full-­time back. May not be able to add more weight onto his frame without compromising quickness and his average speed. Cut down on his fumbles this season but had six last year which could be a potential concern at the NFL level. His 12­-yard runs could become 4-­yard runs thanks to average get­away speed.",UTAH,134,RB,Denver Broncos,2016
